hotel_name,rating,review_count,hotel_rank,amenities,languages,reviews,hotel_class,price,best_price_source,restraunts_nearby,attractions_nearby,good_for_walkers_out_of_100
Harbour Ville Hotel Hamilton @ Lavender,3.5,24 reviews,#255 of 369 hotels in Singapore,Street parking,"English, Chinese, Filipino, Malay","Share, ,This is a review of the Deluxe Single room (no window). FYI you need to deposit $100 before you can check in to ur room, it doesn't say it in any booking apps so bring an extra $100 for that. They say it's in case of any damage you might do to the room. When you check out, you will receive back your $100 but if you check out late you won't get the money. I'll start with the pros of the room, the room has a good design and it's a good budget room. The wifi is very good and fast. There are 4 charging ports in the room for those who need them. The bed is very comfortable and soft. Now I'll list some feedback, first of all the room is very small, it's smaller than what the pictures shows. The room I booked has no fridge but also no chair not even a stool. There were also some dust, near the rubbish bin (see pics) so the housekeeping might have missed that. The walls are thin so it can be noisy sometimes so keep that in mind. The shower water isn't hot enough it's kind of lukewarm. The check out time is 11:00 while most hotels are at 12:00, not sure why they do this. I would only recommend staying in this hotel if there is a discount, because for the price you can book other hotels that are better like the hotel right beside this. ,…,It my first time check in to the hotel, and still under renovation at the 1st floor. The room not that big but it fine. What i going say the fridge not clean still have left over soft drinks, in the morning that noise came from 1st floor, due to renovations.,The room is totally noisy, you can hear what people in the other room are talking about. When I stayed there for 2 nights (11-13 Jan) there's a family who book 3 rooms, they stayed up till 4am, and they opened all the doors, shouting, talking, opening/closing the door. When we complain to the receptionist, she said she has informed the noisy guests, but there's no other things that they can do.  I'm pretty sure my bed has bed bugs, cause my legs get all itchy. When I asked to switch to other rooms, they said the other rooms are smaller and that I have to pay extra (what???).  Once you enter the hotel lobby, straightaway you can feel the stale smell. From the old/dusty sofas, carpets, un-washed towels, etc. Also since the aisle is quite cramped, you hardly can walk pass when, there's cleaning lady lorry, and worst is when you try to walk pass, the cleaning lady gave you a stare as if you shouldn't walk through the aisle when she's cleaning (again, what???).  Stay at your own risk!,…,The room looks totally different on the pictures. The premiere king room that I booked is only available directly next to the reception where people pass by the whole day and it’s super noisy. There was nothing written in the booking or on the website, that this category is only available on the ground floor and switching to an upstairs room would be an extra charge.  In my opinion, it’s a no go for a hotel to inform about that after arrival and take an extra charge for moving to another floor!,Harbour Ville Hotel, Hamilton Summary 4.1 Very good 97 reviews Rooms 2.3 Location 5.0 Service 1.0  6.7/10 · 123 reviews Agoda  4/5 · 16 reviews TripAdvisor  6.6/10 · 145 reviews Booking.com  2.9/5 · 36 reviews Expedia.co.th  5.8/10 · 34 reviews Hotels.com Reviews  Search reviews People often mention  Jennie Yan 2/5 just now on  Google Pros: - Friendly service. - Close to the train. - Walking distance to Haji Lane and Arab street. Cons: - The room was tiny and without a window. - The shower was open to the toilet, without a curtain or barrier, so when you took a shower, water soaks the entire bathroom floor. - The toilet clogged the first night we were there. They brought a plunger but still didn't fix the problem. This happened at 4am because we were jet lagged so house keeping, wasn't able to fix it until later in the day. They did give us temporary access to another room so we could use that bathroom in the meantime. I asked about moving to the new room permanently but they said it would be an upgrade cost.,…",,5777,Expedia,165,16,91
Sheraton Towers Singapore,4.5,"2,473 reviews",#17 of 369 hotels in Singapore,Valet parking,"English, Chinese, Filipino, Malay","Share, ,We went with our daughter for a 1 night staycation at Sheraton Singapore. We were early and was allow to check in early. They also allowed for late checkout upon request. The front desk staffs were friendly and accommodating.   During our stay, we have a nice surprise from the front desk, special thanks to Ms Madani and staff who brought up the nice tea snacks and 2 refreshing drinks. Really nice of them, appreciate this thoughtful  act of them.   The housekeeping staff was also thoughtful, she has check on us to see if we need additional things in the room.   Overall, a memorable and pleasant stay at Sheraton.,A wonderful experience for a well held wedding dinner at the Sheraton given the covid situation. Very professional and all SDM were adhered during the event.  The staff were all highly attentive to details and ensured a smooth event on that day.  They were able to respond to my last minute requests and delivered without a hitch. I love the Chinese cuisine served on that night especially the fresh fish and teochew yam dessert. In my opinion, one of the best Chinese cuisine you get from a wedding dinner.  Special thanks to Simin, Valerie, Shirley, Chao Xian, Mei Yee, Tommy, Esther, Phyo, Chef Goh, Chef Tan, Chef Eric and many many more whom made this experience possible.,My partner and I booked a staycation from 28th to 30th November.  We arrived at the hotel before 12 and were pleasantly surprised to be checked in within 5 minutes. However upon entering the room we were greeted to a very musky smell that smelled to come from the carpets.  Staying at room 1321, we had a good view of the swimming pool. We also opted for the $50 food and beverage credit which was a good way to order in room dining. PS/ The Wagyu burger was great.  In my opinion the Sheraton was a nice stay, it was within walking distance to Newton MRT and if you feel like a good walk, Orchard is a bout 10 minutes away on foot.  I did however have a tarnishing experience trying to get a taxi on Sunday night as the gentleman on duty (no mentions named) was curt and very unhelpful, , Checking out was a breeze despite it being Monday morning.   Just to let you know the food and beverage credit does not apply to bar snacks and is also non-refundable. I thank everyone at Sheraton for their hospitality.,…,The room wifi is not complimentary, apparently you have to become a member to access wifi. This is unprofessional for a big hotel brand. The reception staff were cold.  Restaurant breakfast was pretty bad. Pool bar is closed. There is practically nothing to do here if you are on a staycation avoid this place.,I got a room on a weekday at a very good rate and checked myself in for some work. Whilst I’m sure this hotel has seen better days pre-COVID, they are doing all they can to maintain standards in the property.   Check-in/out, room service, requests for housekeeping and other amenities are all done via the app, which is pretty much catching up with technology and in accordance with COVID-19 safety measures. That said, everyone in the property still maintained a pleasant disposition.   Some issues to point out of the room (1804): Besides lamps were always at maximum brightness and it’d be really useful to have a dimmer. Same goes for the bathroom.  Wifi and air conditioning were excellent.   My only real gripe with the location of this hotel is that I can’t walk out to grab a snack, because there’s really nothing at all unless I walk abit farther on.   ,…","City View,Business",21284,Sheraton.com,523,78,88
The Scarlet Singapore,4.0,"2,023 reviews",#78 of 369 hotels in Singapore,Paid public parking nearby,"English, Chinese, Filipino, Indonesian","Share, ,My boyfriend and I went to The Scarlet Hotel on 14th Jan 2022 to celebrate his birthday. We like to give a big thanks to Haley. We were surprised by her beautiful gestures, lovely welcome, excellent services.  She surprised us with an awesome room which was specially decorated with a birthday theme. The hotel sponsored a bottle of red wine, beverages and snacks.  She helped us to take photos to create memorable memories. She shared with us about the hotel's Valentine's Day and Christmas promotions. That attracted us to stay The Scarlet Hotel  again. It definitely worths the return visits.,We were greeted by Nigel whose efficient and friendly manner made us feel even happier to arrive in Singapore. The following days we were greeted by Nazir. His warm and relaxed manner felt genuine. On our last few days Faizz was very helpful and efficient He managed our booking for an additional night.. All of you guys made it a memorable experience. Thanks again we really appreciate it.  The Scarlet’s location is ideal for the Maxwell food court and buzzing China town. The Scarlet itself is on a quiet street.,This is the 2nd time my husband & I disappeared from the hussel &bustle of parenting & work to reconnect in a hotel made love. A Perfect location, clean rooms, a stocked minibar and a room with a balcony is just right.  The 24 reception is fantastic, and on checking in  Hailey + Faizz went above and beyond with help and friendliness. I highly recommend this venue.,Stayed at The Scarlet Singapore while in Singapore for 7 nights, recently.  Rooms are clean, the front desk is available 24 hours, and the location gives you immediate access to Chinatown and is within walking distance to major tourist areas. The staff, from the time we checked in to the time we checked out, was extremely helpful. Not only did they provide recommendations for adventures, routes to take, cater to our requests quickly, they also help my mother and me navigate the COVID-19-related requirements and testing. I cannot reiterate enough that the staff at the Scarlett Singapore Hotel, especially Nawauri, Faizz, Nazir, and Diana, made our time in Singapore 100X better amidst the peak COVID outbreak.,We checked in on 5th Jan 2022 and checked out on 6th Jan 2022. We were served by a staff name Faizz. We had one of the best customer service we could ever asked for. Faizz was extremely nice and polite, he helped us throughout our stay and made it hassle free.   I would highly Recommend this Hotel for those who are looking to have a nice and private stay with their love ones.","Quaint,Charming",10351,Agoda.com,1055,128,100
Hotel NuVe Urbane,4.0,255 reviews,#117 of 369 hotels in Singapore,Free parking,"English, Chinese, Filipino, Malay","Share, ,The hotel was constructed within a facade of a building set aside for conservation, so it really does give a very quirky feel.   Rooms were pretty small, slightly larger than the ones in Tokyo, but most importantly, they're pretty clean and well-kept.   Was 'upgraded' to rooms by the poolside, which is a boon or bane actually. If you want to swim, it's great to just walk out of the room and into the pool (with Covid, need to register with front desk first). But it also means a lack of privacy and can be noisy as other guests use the pool.   Location wise, very convenient. If you're up up it, can even walk to Bugis. If not, MRT stations Lavender (East-West line) and Jalan Besar (Downtown line) are just round the corner. Lots of food options around too.   Cosy, but just, functional. Good for a quick getaway. ,…,Im giving this review on behalf of my sister and brother who have book the hotel from 25/10-26/10. The room number is 314.   After a bad experience in another hotel, They decided to Walk - In at Hotel NuVe Urbane Upon Check in, Mr John Martinez (The Hotel Manager)  really made their day with his service! He is very good! They love the way how he serve them upon check in and check out.. They are looking forward to their next stay cation again!,I chose this hotel mainly due to its balcony as I do not want to go out of the hotel much and I want some fresh air. But I was quite disappointed when the balcony is just a narrow strip of walkway which connects to the other rooms and separated just but a small chain.  The walls are also too thin and the traffic noise from the road beside is quite loud till very late into the night. The guests next door were at their balcony and was talking(normal talking volume) and I can clearly hear every word they say in my room.  Other than these 2 personal unhappiness of mine, the location is quite good. It is within walking distance to Little India, a street where many Turkish food and merchandises are found, restaurants, shopping and a metro station.   The room is small, just enough room, for one person to walk a U shape area around the bed. But it is clean.  If you are getting the room with the complimentary mini bar, please note that besides the usual complimentary tea and coffee, the mini bar consists of 2 oreo cookie packs, and 3 soft drinks in the fridge.  For those who just want a bed after some time exploring Singapore and wants some convenience, this hotel would be ok.,…,slow check in, extremely small rooms despite booking the ones with balcony space, staff charged us extra upon check out without even informing us in advance. Would not return & do not recommend either!!!,Walking distance from Lavender mrt, bars and eateries and supermarket and even convenience store around the area. Small and cosy and simple enough, room wise was ok, industrial-chic style and free minibar.",Boutique,7334,Agoda.com,281,21,100
Hotel NuVe Elements,4.5,17 reviews,#205 of 369 hotels in Singapore,Paid public parking nearby,"English, Chinese, Malay, Tamil","Share, ,This was a new offering in my Chase travel portfolio. It looked promising online, so when I went to Singapore, I just showed up at the hotel and booked what was available. My room could very well be what's in the photo here: King-sized bed, TV, big shower and just enough room for my one-night stay. This is very convenient to the financial district and Chinatown. The best part was the hot-tub on the roof, which you can reserve for one-hour segments at night. It was the perfect remedy for my 17-hour flight from the U.S.,Our room (superior king) was fantastic!  Comfortable bed and clean linen! Other surrounding hotel should stand aside from this astounding new hotel with concept. In overall, my stay was good and the hotel staff is very friendly too!,Location is fantastic. This hotel is only 5 min walk to Clarke Quay MRT. There are lots of cafes and restaurants in the area. Staff are very friendly. Totally love the free minibar and coffee machine in the room. I will definitely recommend to my friends. ,Location is excellent. Only 3-min walk from Clarke Quay station and many cafes in the area. Many major attractions within walking distance and staff were really helpful and friendly.   The minibar in the room is totally free! Totally loved this service especially the coffee machine. :)   They offer breakfast at a cafe just opposite the hotel and it was really good and convenient.,Location is strategic, walking distance to the metro and many eateries and restaurants. Check-in by Ally was smooth and prompt, Fish from Frontdesk was also friendly and efficient. Clever room layout for space maximising, sufficient number of power points including USB charging. The queen room we had was adequate for us though not sufficiently spacious if you have more than one huge luggage or need to have more wardrobe space. Housekeeping had done a good job as the room was well maintained. Bathroom was brightly lit and water pressure was good.",,,,692,99,100
ibis budget Singapore Joo Chiat,3.5,411 reviews,#157 of 369 hotels in Singapore,Parking,"English, Chinese","Share, ,The Ibis hotel has just been renovated and has all amenities you can ask for in a budget hotel: practical & pretty interior, kettle, fridge, air con and elevator. The staff was extremely friendly and helpful. The location in a very pretty historical district is perfect for a night between flights: the taxi to the airport takes 10minutes max and there are plenty of restaurants and bars around.  Within 15-20min wslking you’ll get to a park by the sea with coffeeshops. The only drawback is that the room had no window but aside from that it was perfect!,I've stayed here with my partner for 12 days. Everything is good for the price range. Strong shower, clean room, staffs are helpful and transactions are fast and smooth.  The bus station is a stone throw away. Good eats nearby. Very convenient. ,We had an awesome 8 nights. Staff is very friendly, accommodting and we felt welcomed. Linens are changed daily. Rooms are tidy. Very accessible to the bus stop. Restaurants are near, mall is walking distance. Even grocery stores. Peaceful place, we had a relaxing stay. We loved it!,Located just outskirts of Katong area, this former Fragrance Budget hotel just got it's new name to Ibis Budget. Room is decent enough if all you wanted is just sleep after a long day in Singapore.   It's clean & quiet for those unfussy travelers. ,A simple, no-fuss hotel for those on a mid-size budget. Beds were relatively comfy, room was clean and washroom of good size. This hotel has been around for a while but I have only recently stayed here due to it being under Accor Group now.  Did not have breakfast so couldn't comment but there are a lot of cafes around the area. If you desire, you can walk 10mins to the Malay Village area or Haig Road food centre for endless choices of local fare.  It is a little far from the nearest MRT station so a better choice would be to walk to the main street about 2 mins away and catch the bus to another MRT station - the front desk should be able to advise travellers on this. There seemed to be quite a number of tour groups using this hotel so lobby can get a little noisy at times., Surrounding bars at night tend to be a little sleazy but the area is generally safe - just don't go walking around in slinky clothes or stumbling around intoxicated. As a lady, I had no issue walking back to the hotel at night or even having a smoke outside the hotel at midnight.  For those who drive, there are only 2-3 parking lots on a first come first serve basis so depends on your luck whether you get a spot on arrival. I had to temporarily park right at the side of the front door and wait for a spot to be free.,…",Budget,4495,Agoda.com,91,12,97
Village Hotel Katong by Far East Hospitality,4.5,"3,307 reviews",#38 of 369 hotels in Singapore,Free parking,"Chinese, Malay","Share, ,Very good service!! Throughout my 4 nights of staying, the staffs have been very friendly and accommodative to my needs. Information given by them are also very clear.   Hotel is very spacious and clean, very comfortable to be staying in. Very worth the cost :)  Special shout out to -Suren- Thank you so much for your excellent service. Knowing what you are doing, answering to our questions and going the EXTRA MILE to assist despite us asking for any help such as immediately asking for help to carry our luggages up after a long flight without us asking. Last of all, always keeping a smile in any situations :) It was a pleasure knowing you and keep up the good work! Thank you!,Absolutely love the room and the service of this hotel. Spacious room, great clean facilities, and super friendly and helpful staff. While serving SHN in this hotel, I called the front desk to ask if they had any regular dairy creamer instead of the non-dairy ones, they immediately bought a new packet full of dairy creams and sent it to my room. I even made sure it was perfectly fine if they didn't have the regular ones, but they even went out of their way to send me a full package of creamer along with a super sweet card.,The hotel and rooms are old (but spacious!), the customer service is great.  Wendy and team were very accommodating to our needs as we had a toddler with us.   The floors aren’t carpeted, which was what we wanted due to allergies. However, when we arrived at the room, I could feel the floor was not clean. The mat I used to clean the floor was all grey and dirty after giving it a wipe.   The skin of my bed was peeling but all that they could do was give us a broom - which was rather handy as we wanted to clean the room often.   We requested for extra pillows to secure my son when he sleeps, and the hotel kindly provided them. Wendy was so nice to get a soft toy for my son which he adores until now.  The customer service is what made the stay more enjoyable so thank you to the, hospitality team!,…,Nice place for staying and good maintenance.Recommend place.kindfull service and really enjoyed the staycation.very clean and unified.I got great experience with this staycation..enjoyed and Jon memorable  ,Smooth check in process and friendly staffs! Rooms are spacious with balcony.  Pool are amazing with 1.8m deep. Convenient walking distance to Parkway Parade Shopping Centre.  There were no room service for now but it was no issue as getting foods are easily access across the streets. ","Value,Quiet",8522,Agoda.com,210,14,94
Ji Hotel Orchard Singapore,4.0,22 reviews,#211 of 369 hotels in Singapore,Free High Speed Internet (WiFi),"English, Chinese","Share, ,Ji Hotel staycation exceeded my expectations. The recent reviews about this hotel made me lower my expectations by a lot. Instead, I was met with friendly and helpful staff, and a great and clean room.  We stayed 2 night in the superior room, and we didn't regret booking our staycation here. The only down side was that check-in took a little longer, and due to the small lobby, people behind us had to queue out of the entrance. I could tell that the staff were already trying their best to speed up the process. Do take note that if you leave rubbish outside of your door hoping that house keeping staff will pick them up quickly, it won't be. Our rubbish was left overnight until housekeeping started their rounds in the morning. We met with really great front office staff who helped, my partner tap open the lobby door twice when he went down to collect food. They only gave 1 key card which had to be left in the room for electricity to run. Honestly loving the vibes of the hotel, as the place have a woody interior and is quite specious for a $100/night room. There were enough amenities like bedroom slippers, toothbrush and paste, basic soap, water kettle, and they even gave 2 cans of complimentary drinks for our stay. Location was superb! Very near Dhoby Ghaut MRT and Plaza Sing. There were also a lot of food choices at UBS building (which is only a few steps away). Hopefully the hotel and team will be able to do well with the upkeep of the hotel, and I look forward to go back there again.,…,This budget hotel is quite covenient in terms of location, and cleanliness. The amenities is quite complete. We can do our own laundry and warm our food at the public facility down at the second floor. Since it doesn’t include breakfast, we need to find our own breakfast in the office area next to the hotel, since it has only one small restaurant at the hotel. Some of the staffs are friendly but the others needs improvement in terms of hospitality. When I asked once to get more bottles of water, one of the staffs answered curtly that they were only provide us with 2 bottles of water per day.  If you decided to choose this hotel, don’t expect more in terms of friendly hospitality.,Reasons why it's a good hotel to consider 1) super near vicinity to Dhoby Ghaut station 2) Fort Canning park is just at the back 3) 7-eleven and Killiney Coffee are located at UBS building downstairs ==> convenience 4) Deluxe room is spacious and clean, with essential amenities 5) Body Wash and Shampoo are supposedly infused with essential oil 6) Check-in and Check-out service is fast and receptionists are friendly & helpful  Reason why I was disappointed The air con panel showed 21 degrees C, but the room was quite warm. We tried to set the temperature lower but the room was not getting cooler. We thought the air con might take a while to cool down, but after after 3 hours (at midnight), we couldn't endure anymore. A call to the front desk revealed that our air con was set to, ""Fan Mode"". We tried dabbling with the air con panel but didn't know how to set it to AC mode. A staff was dispatched to help us, and he really gave us ""attitude"". Stormed into the room, pressed a few buttons on the air con panel, and left! He didn't even answer us when we asked him how to set to AC mode. We must have disturbed his beauty sleep.  This experience really marred all the 5-star aspects of the hotel :(,…,This is a ""forced"" staycation as we had to use the ReDiscover vouchers.  To be honest, I didnt expect much but I do my research on hotels that is close to the $100 range as my main motive is to use finish the vouchers.  To be honest, the hotel room is not bad for the price paid, however let me list out the bad before listing out the good.  The Bad: 1) Hotel front desk is not very responsive, I ring up the front desk from my room; 4 times, each time for a good 1 minutes plus and no one pick up. I had to call the hotel main line using my mobile phone and magically, the front desk pick up within just 5 seconds.   On one occasion, after speaking on the phone on my request, the front desk just hang up the call without saying a courtesy good bye or acknowledgement.  2) The house, keeper is not very fast in her work, requested for a shower gel and it took her 25mins to get me the item.  3) There are tiny ants crawling on the table in my room, I had to be pest buster for the night occasionally.  4) No bedroom slippers  5) The fabric headboard of the bed smells  6) The window is not very soundproof, my room is located right above the main entrance of the hotel and lower level, I can hear people talking right below, and these people are usually the smokers.  7) People can just smoke right next to the entrance of the hotel door, and I witness even the hotel staffs are doing it  8) Gym is closed due to Covid situation  9) In the evening time, you are on your own for house keeping, the staffs all went back home  10) No in house parking, had to park opposite  The Good 1) Big TV, 65 inch with alot of Cable TV Channels  2) Japanese Zen feel to the shower   3) Very good toilet amenities  4) The quality of the furnishing is really above average.  Overall, I would still wana come and stay at this hotel due to factors such as price and proximity location to Orchard.,…,Booked a superior room and paid for the upgrade to the Deluxe Room. Big mistake for me.  Called a day before arrival to check with them if the Deluxe Room had a table and chair for us to setup a laptop as my partner still had work to do. I was informed ""Yes there is"". Delighted, I happily hung up the phone.   Fast forward to post check-in. We paid for the $20/Night Upgrade (which seemed like a good deal) went up to the room and to my surprise, I saw a sofa and no table nor chair. There was however a square bedside table not in proximity to the sofa to do any work.   Only option then was to pull out the bedside table to the sofa.  Check-In Process was longer than I expected, being a hotelier myself I have never asked all checking-in guests to sign in on reg card each. (Curious, Process)  Overall the hotel was alright, lacks any human touch if thats the kind of getaway you are looking for. Plenty of food across the road at Plaza Singapura, and theres a 7/11 at the UBS building next door. Its about 5-7 minutes walk from the hotel.   Experience for the weekend was alright, rooms are nice and clean. But still room for improvement.   Do note that the standard Check-Out time is 1100 Hours. (11am),…",,8391,Booking.com,176,46,100
Ibis Budget Singapore Crystal,3.5,611 reviews,#215 of 369 hotels in Singapore,Free parking,English,"Share, ,The room was standard however the mattress was made out of hard plastic and was like a rock also only one pillow and one blanket ,unable to get a proper nights sleep as felt like sleeping on a prison bed, would never recommend to families to stay there,hope you head this advise or if not good luck,I chose this hotel because I was arriving in Singapore late at night and leaving for Malaysia early the next morning.  Check in was quick. Slow elevators transport guests to rooms on 9 floors. Rooms are small but very clean. Quiet air conditioner keeps room cool. Bathroom with decent shower and hot water. Clean sheets. Bed was a little hard but not bad. Small television with poor reception. Window has view of a back alley.  Noise from the hallway can be slightly disturbing especially the sound of the elevator bell as it travels between floors and echoes down the hall. Neighborhood is a red light district in the evening but is still very safe to walk through. MRT station is 10 minute walk. No restaurant in the hotel but a few noodle shops nearby.  If my future travel required, only a shower, sleep and short turnaround in Singapore I would stay here again. Give the taxi driver the address of the hotel - there are several hotels in the neighborhood with similar names and drivers might get confused. ,…,Booked online for 2 nights while I was working on getting a visa done in Singapore. Didn't check out the area as I was looking for something close to the Embassy on Orchard Rd. Hotel facade is good, tiny lobby, and has 2 functional roomy elevators. Because of it's location I think you can get the rooms for ""short time"", as I went down to th lobby to get some help with my wireless connection and a young guy and lass were booking a room, had no bags, and she had quite a bit of make-up, short skirt, and hi heeels (lol).  Anyway, the rooms are real basic, hsower is pretty good though, and the towels are functional. A/C worked good but the tv was bad. Bed was firm, but comfy and didn't get bitten or see any bugs either (that is a plus). Sheets (clean) and skimpy blanket are, sufficient but are not designed to keep you warm.  Overall i would say it is ok for the seasoned traveller on a budget. There is a hint of being on the ""seedy side"" and all that brings with it (security concerns, drunks, working ladies etc), but keep your wits about you and you will have a good time. Plenty of cheap food options, drinks, and tables to sit at and watch the world go by. And you never know, but maybe a working gal will sit down at your table and have a chat with you about life as you enjoy your curry and beer :),…,Clean, small rooms. staff is honest, we forgot laptop in our room and they returned it ti us.  Interesting location - center Red light town, but it was safe in hotel and wasn't noisy. It is near metro station - is a plus. A lot of food places are near hotel,This was the worst hotel I have ever stayed in, as we arrived there were men in the lobby asking for 2 hour rooms.  I did know that this was in the red light district but didnt realised it would be used as part of it! When we went in to our room we could hear loud slaps and moaning coming from one of the rooms on our floor! A bit off putting!  The room was basic and blankets were a bit gross.  Virbrant area with lots of places to eat nearby however...","Mid-range,Modern",4617,ZenHotels.com,63,6,71
"Holiday Inn Express Singapore Serangoon, an IHG hotel",4.5,62 reviews,#148 of 369 hotels in Singapore,Paid private parking on-site,English,"Share, ,The People at the Front desk the day I checked in were a blessing. MY reservation date was wrong but they accepted the rate I booked under. I was so grateful for that. The hotel room was nice and new. The location is on a main street so getting around was super easy. I used grab while there but you can walk to many spots to eat. Singapore was our first stop in our Southeast Asia trip... The breakfast was your standard buffet.,The neighborhood of Jelan Besar is quite a wonderful treat for us. This hotel is conveniently located besides The bus station and MRT. Going places was a breeze. Check in was efficient and fast. It’s an express hotel so get used to fetching things yourself. No issues for us there as the staffs are helpful. Breakfast was quite good. The essentials are there proportionate to the rate you pay. Several malls within area plus lot’s of dining choices in every nook and cranny.,I highly recommend this property. Courteous and friendly staff are waiting with a big smile to welcome y’all. Kudos to Ingrid, Mandy, Terry, Jerran. Christina. Mr. Michael and Sheryl who smoothly checked me in. Hotel has variety of good breakfast choices not congested at all. To mention this property you’ll see what team works really means the kitchen staff, head chef and Hotel Manager are helping each other to attend the guests particularly during the breakfast and during guests queue. ,Not a great start when the taxi driver at the airport had never heard of the hotel.  Check in when we eventually found the place was very quick and the staff VERY helpful in every way.  Our room was very small but very clean and modern. The beds and linen were really comfy but the pillows were WAY too soft for me, even the ones they called firm. The shower was lovely, no complaints there. Most hotels supply an electrical adaptor but they couldn't seem to find an Australian one so we had to walk down the road on our first night to buy our own adaptor just to charge our phones which was a bit of a let down for me. This hotel does not exchange currency and the closest money changer was quite a walk or taxi ride away at Mustafa Centre, very inconvenient!  The housekeeping made up, our room every day, much appreciated. The breakfast was something to eat, with minimal choice, nothing to rave over but sufficient.  There is a bus stop right out front which makes it very difficult to get a taxi as they don't like stopping out the front as it's illegal in the bus lane.  The closest MRT was a bit of a walk when you are tired which was a real game changer for me.  I did enjoy my stay and the staff went above and beyond but I would prefer to be closer to the city next time as I found this hotel a little too far out of the way.,…,Newly opened hotel, still fresh.  This was a great location with 3 metro stations within walking distance and a bus stop right outside the hotel.  Breakfast available every morning a good selection.  Staff really amazing and helpful, nothing was too much trouble for them.  Great cleanliness. Little India is very close-by, lots of shopping and eating places nearby.  We had an amazing time in Singapore and would definitely return and stay here again.","Family,Centrally Located",,,327,22,97
Marina Bay Sands,4.5,"29,381 reviews",#49 of 369 hotels in Singapore,Valet parking,"Chinese, Filipino, Indonesian, Japanese","Share, ,Booked 2 rooms due to large family and Stayed over the New Year break. Fantastic views from the room. The staff were excellent all the way down to housekeeping. Special call out to my attendant who topped up kids drinks in our mini bar when he saw our horde of munchkins.  View from Pool was incredible as was all the food there in general. I would point out to any one trying to stay there over peak periods to book early. This includes dining reservations. Up to a week prior to my stay, all restaurants were already booked out - totally my own fault for not thinking further ahead. On the upside, the room service is incredible and serves pretty much 24 hrs.  Would come back for sure.,Top tip: book slots for the pool early!   Excellent 3 days 2 nights staycation. We were lucky to have a room on the high floors and view was amazing. Check-in and out we're a breeze. Service staff from the front desk, housekeeping and general staff were friendly and polite. Wifi was free and worked well.  Loved that the mini bar was refilled daily, soft drinks, chips, nuts, water and tea replenished 😊  Aircon worked well and beds were comfy. My only gripe was that the shower head was fixed and there wasn't a rain shower. ,Had one night stay with my family GREAT , AMAZING VIEWS from our rooms Luckily we were allocated on 40th floor. But otherwise, breakfast choices were limited - especially for vegetarians Staff service quality was good, but i understand its holiday season - lots of families were having staycation at same time Sadly unable to book for infinity pool Hopefully they will send us email to book for gym/infinity pool like 2 days earlier, so we can book earlier too  Managed to take some photos - posted on my instagram : ig - @naughtynareshy,My son really love the infinity pooh on top of the hotel the lifeguard was very helpful ""thank you Kelvin :) "" ! I love the in room breakfast on bed ! The bed is very comfortable to sleep in the bathroom is huge with bathtub !,The Premium Guest services were excellent, top notch attentiveness from Dyana and Jerry from check-in, explanation, help with swimming pool booking till check-out.   It has been the most memorable staycation for my daughter, also a great place for our advance wedding anniversary celebration.  They have fabulous food from Club55, Spago, Rise, Renku and in-room dining.   Every detail is just so well thought of, staff are customer oriented. I am very impressed and will definitely return to stay if I’m back in Singapore. Even the lifeguard Ryan was so proactive to help us take family photos.   If there is a slight improvement needed, it would be Stella from the infinity pool service team, she could have been more polite to ask and check with her other colleagues instead of brushing, us aside when we said we did not receive the QR code for the swimming pool booking.   Overall, it is still a 5 star rating.,…","Lagoon View,Ocean View",34957,Agoda.com,91,40,100
